time,State,Predicted Altitude,Predicted Vertical Velocity,Predicted Vertical Acceleration,Predicted Angle to Horizontal,Measured Altitude,Measured Pressure,Measured Temperature,Measured Acceleration x,Measured Acceleration y,Measured Acceleration z,Measured Rotation x,Measured Rotation y,Measured Rotation z,Measured Gravity x,Measured Gravity y,Measured Gravity z,Measured Orientation real part,Measured Orientation i part,Measured Orientation j part,Measured Orientation k part,Measured Angle to Horizontal,Controller error,Flight path,Flght path velocity partial derivative,Flght path angle partial derivative,Update rule drag area,Adjusted drag area,Requested drag area,Current drag area,Update rule shutdown,Controller saturation,Controller fault
29149,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29249,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29349,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29449,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29549,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29649,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29749,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29849,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
29949,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30049,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30149,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30249,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30349,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30449,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30549,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30649,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30749,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30849,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
30949,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31049,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31149,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31249,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31349,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31449,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31549,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31649,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31749,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31849,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
31949,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32049,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32149,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32249,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32349,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32449,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32549,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32649,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
32749,armed,0,0,0,1.396263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,FALSE,FALSE,FALSE
